Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G-PK	PK	PKatt	CrdY	CrdR	Gls/90	Ast/90	G+A/90	G-PK/90	G+A-PK/90	xG	npxG	xA	npxG+xA	xG/90	xA/90	xG+xA/90	npxG/90	npxG+xA/90
440	Tommaso Pobega	it ITA	MF	Torino	22	1999	33	24	2240	24.9	4	2	4	0	0	11	0	0.16	0.08	0.24	0.16	0.24	3.8	3.8	0.8	4.5	0.15	0.03	0.18	0.15	0.18
441	Suf Podgoreanu	il ISR	FW	Spezia	19	2002	5	1	113	1.3	0	1	0	0	0	0	0	0	0.8	0.8	0	0.8	0	0	0	0.1	0.03	0.03	0.06	0.03	0.06
442	Matteo Politano	it ITA	FW	Napoli	27	1993	33	20	1650	18.3	3	4	3	0	0	3	0	0.16	0.22	0.38	0.16	0.38	2.7	2.7	4	6.7	0.15	0.22	0.37	0.15	0.37
443	Manolo Portanova	it ITA	FWMF	Genoa	21	2000	24	17	1322	14.7	1	0	1	0	0	4	0	0.07	0	0.07	0.07	0.07	2.9	2.9	0.8	3.6	0.2	0.05	0.25	0.2	0.25
444	Dennis Praet	be BEL	FWMF	Torino	27	1994	23	17	1539	17.1	2	2	2	0	0	3	0	0.12	0.12	0.23	0.12	0.23	2.5	2.5	4.1	6.6	0.15	0.24	0.39	0.15	0.39
445	Mateusz Praszelik	pl POL	FWMF	Hellas Verona	20	2000	2	0	25	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.11	0.11	0.11
446	Ivan Provedel	it ITA	GK	Spezia	27	1994	31	31	2761	30.7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
447	Erick Pulgar	cl CHI	MF	Fiorentina	27	1994	6	4	341	3.8	0	1	0	0	0	2	0	0	0.26	0.26	0	0.26	0.1	0.1	0.7	0.8	0.02	0.2	0.22	0.02	0.22
448	Ignacio Pussetto	ar ARG	FWMF	Udinese	25	1995	28	11	1204	13.4	4	4	3	1	1	4	0	0.3	0.3	0.6	0.22	0.52	4.9	4.2	2.6	6.8	0.37	0.19	0.56	0.31	0.51
449	Niklas Pyyhtiä	fi FIN	MF	Bologna	17	2003	1	0	19	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
450	Fabio Quagliarella	it ITA	FW	Sampdoria	38	1983	33	19	1664	18.5	4	2	3	1	1	2	0	0.22	0.11	0.32	0.16	0.27	4.2	3.5	2.1	5.6	0.23	0.11	0.34	0.19	0.3
451	Adrien Rabiot	fr FRA	MF	Juventus	26	1995	32	28	2285	25.4	0	2	0	0	0	5	0	0	0.08	0.08	0	0.08	1.7	1.7	1.8	3.5	0.07	0.07	0.14	0.07	0.14
452	Ivan Radovanovi?	rs SRB	DFMF	Salernitana	32	1988	14	12	1053	11.7	1	1	1	0	0	4	0	0.09	0.09	0.17	0.09	0.17	0.8	0.8	0.8	1.6	0.07	0.07	0.14	0.07	0.14
453	Ionu? Radu	ro ROU	GK	Inter	24	1997	1	1	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454	?tefan Radu	ro ROU	DF	Lazio	34	1986	10	6	556	6.2	0	0	0	0	0	2	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.01	0.01	0.02	0.01	0.02
455	Boris Radunovi?	rs SRB	GK	Cagliari	25	1996	3	3	270	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
456	Antonio Raimondo	it ITA	FW	Bologna	17	2004	1	1	74	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0.13	0	0.13	0.13	0.13
457	Aaron Ramsey	wls WAL	MF	Juventus	30	1990	3	1	99	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0.1	0	0.1
458	Luca Ranieri	it ITA	DF	Salernitana	22	1999	27	25	2103	23.4	1	0	1	0	0	9	0	0.04	0	0.04	0.04	0.04	0.6	0.6	0.7	1.4	0.03	0.03	0.06	0.03	0.06
